################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   3.0403613564544254E+00   7.4176376779130437E-01   3.1196435519755311E-01
         1          2   0.0000000000000000E+00   3.1558572876695612E+00   6.8342242983472112E-01   3.0139561967465406E-01
         1          3   0.0000000000000000E+00   3.0857137939078849E+00   6.4364441709862918E-01   2.7986374152675414E-01
         1          4   0.0000000000000000E+00   2.9198825465282665E+00   7.1149413377500803E-01   3.0068728166694547E-01
         1          5   0.0000000000000000E+00   3.0367281704187401E+00   6.5594494147244464E-01   2.9080400493156439E-01
         1          6   0.0000000000000000E+00   2.9703486953673202E+00   6.1731436814671903E-01   2.6975994210575371E-01
         1          7   0.0000000000000000E+00   2.7539264131311643E+00   6.6978783333724146E-01   2.8507536223821756E-01
         1          8   0.0000000000000000E+00   2.8724732292840600E+00   6.1806345888622516E-01   2.7611939047846656E-01
         1          9   0.0000000000000000E+00   2.8109640651099381E+00   5.8104110338335302E-01   2.5577029374748578E-01
         1         10   0.0000000000000000E+00   2.5192135514698544E+00   6.1077843301197332E-01   2.6281326230237939E-01
         1         11   0.0000000000000000E+00   2.6397999590125023E+00   5.6441589716938589E-01   2.5513281411783578E-01
         1         12   0.0000000000000000E+00   2.5845325424428949E+00   5.2972798973984181E-01   2.3581683064172332E-01
         1         13   0.0000000000000000E+00   2.1802681676089017E+00   5.2551012639753025E-01   2.3019397399907676E-01
         1         14   0.0000000000000000E+00   2.3028373361430194E+00   4.8677141162452342E-01   2.2427181930388967E-01
         1         15   0.0000000000000000E+00   2.2551832001094296E+00   4.5559692883323810E-01   2.0656776828164120E-01
         1         16   0.0000000000000000E+00   1.6889470921221605E+00   4.0182377110928780E-01   1.8157617091349249E-01
         1         17   0.0000000000000000E+00   1.8114434450207841E+00   3.7379477820595924E-01   1.7798556002053886E-01
         1         18   0.0000000000000000E+00   1.7717776797990936E+00   3.4808482574012517E-01   1.6293308675800888E-01
         1         19   0.0000000000000000E+00   1.0110389496298244E+00   2.3156037773620330E-01   1.1080350860865025E-01
         1         20   0.0000000000000000E+00   1.1224751945592366E+00   2.1718288193926769E-01   1.0977130751011607E-01
         1         21   0.0000000000000000E+00   1.0886763685723018E+00   2.0004772463211035E-01   9.9253278213231808E-02
         1         22   0.0000000000000000E+00   3.4921385897897433E-01   5.2131379449378124E-02   2.8516739127846014E-02
         1         23   0.0000000000000000E+00   4.2625433161098342E-01   4.9325972143723348E-02   2.8172727487329720E-02
         1         24   0.0000000000000000E+00   4.2625433161098342E-01   4.3986335850109741E-02   2.4642902661677613E-02
         1         25   0.0000000000000000E+00   2.4126973765238580E-01   3.4907239198026332E-05   1.3385411990894985E-03
         1         26   0.0000000000000000E+00   4.1805662952593220E-01   2.3391485499204367E-05   2.1414355003699700E-03
         1         27   0.0000000000000000E+00   4.1805662952593220E-01   2.1160780614066402E-05   2.1414269767123717E-03
