################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2165007210654455E+01 a         1     0     1     1     1
  6.7352229463066591E+00 a         2     0     1     1     2
  3.5950813046818481E-01 a         3     0     1     1     3
 -1.0856323063706206E+01 a         4     0     1     1     4
 -2.2657593323200299E+01 a         5     0     1     1     5
 -5.8768688815354508E+00 a         6     0     1     1     6
 -5.0602574813439238E+00 a         7     0     1     1     7
 -8.5293862334679975E+00 a         8     0     1     1     8
  2.4949869621482939E+01 a         9     0     1     1     9
  1.0692131822556286E+01 a        10     0     1     1    10
  1.6035679967690175E+01 a        11     0     1     1    11
 -6.7710921612866475E+00 a        12     0     1     1    12
  5.2701789535536445E+00 a        13     0     1     1    13
  1.2050456704174892E+00 a        14     0     1     1    14
  2.7994625079568900E+00 a        15     0     1     1    15
  4.6492178856951023E+00 a        16     0     2     1     1
 -6.6935305158402443E+00 a        17     0     2     1     2
 -1.0142598326470019E+01 a        18     0     2     1     3
 -6.5392100796122410E+00 a        19     0     2     1     4
 -1.8426107875594539E+01 a        20     0     2     1     5
 -6.5899218738559444E+00 a        21     0     2     1     6
 -7.1062544008807640E+00 a        22     0     2     1     7
  6.5517830102057255E+00 a        23     0     2     1     8
  1.8003761973396781E+01 a        24     0     2     1     9
  1.3686372505356776E+00 a        25     0     2     1    10
  5.1697265438397677E+00 a        26     0     2     1    11
 -9.7611830871711263E+00 a        27     0     2     1    12
  1.5850487330661911E+01 a        28     0     2     1    13
  2.6852894071638858E+00 a        29     0     2     1    14
  6.3111179529267663E+00 a        30     0     2     1    15
  1.3462086841134169E+00 a        31     0     3     1     1
 -1.0641628776710014E+01 a        32     0     3     1     2
 -3.6239415092008298E+00 a        33     0     3     1     3
 -4.9771666691605052E+00 a        34     0     3     1     4
 -5.9276843170382048E+00 a        35     0     3     1     5
  5.0793710529864589E+00 a        36     0     3     1     6
  1.1071483799759334E+00 a        37     0     3     1     7
 -1.2304225156146330E+01 a        38     0     3     1     8
  8.6892361578552944E+00 a        39     0     3     1     9
  4.6916283179613423E+00 a        40     0     3     1    10
 -1.5160320481013967E+01 a        41     0     3     1    11
 -6.1943184515983942E+00 a        42     0     3     1    12
  1.5499324207996599E+01 a        43     0     3     1    13
 -5.6472552675692823E-02 a        44     0     3     1    14
 -4.5643967017966264E-01 a        45     0     3     1    15
  2.3909868273844070E+00 a        46     0     4     1     1
  8.4837669363390744E-01 a        47     0     4     1     2
 -5.2296678096119136E+00 a        48     0     4     1     3
 -1.9360440855655414E+00 a        49     0     4     1     4
  1.2481875775440678E+00 a        50     0     4     1     5
 -7.5108091668318777E-01 a        51     0     4     1     6
 -1.6941295784001928E+00 a        52     0     4     1     7
  1.1832354187650942E+00 a        53     0     4     1     8
  5.2592625465577338E+00 a        54     0     4     1     9
  4.4591434564006054E+00 a        55     0     4     1    10
  2.5329529263035502E+00 a        56     0     4     1    11
 -1.4310287232767491E+00 a        57     0     4     1    12
  1.6511079520053353E+00 a        58     0     4     1    13
 -3.8356246022263814E+00 a        59     0     4     1    14
  1.0531188216203220E+00 a        60     0     4     1    15
  1.4205393640364989E+00 a        61     0     5     1     1
 -3.4733836944520617E+00 a        62     0     5     1     2
 -5.0091175439833231E+00 a        63     0     5     1     3
 -2.0106102166696043E+00 a        64     0     5     1     4
